iter	Passed	Remaining
0	0	12
1	0	13
2	0	11
3	0	10
4	1	10
5	1	10
6	1	9
7	1	9
8	2	9
9	2	8
10	2	8
11	2	8
12	2	8
13	3	7
14	3	7
15	3	7
16	3	7
17	3	7
18	4	6
19	4	6
20	4	6
21	4	6
22	5	5
23	5	5
24	5	5
25	5	5
26	6	5
27	6	4
28	6	4
29	6	4
30	7	4
31	7	4
32	7	3
33	7	3
34	7	3
35	8	3
36	8	2
37	8	2
38	8	2
39	9	2
40	9	2
41	9	1
42	9	1
43	9	1
44	10	1
45	10	0
46	10	0
47	10	0
48	10	0
49	11	0
